year,month,day,hour,min,sec,recno,kindat,kinst,ut1_unix,ut2_unix,pierce_alt,gps_site,sat_id,gnss_type,gdlatr,gdlonr,los_tec,dlos_tec,tec,azm,elm,gdlat,glon,rec_bias,drec_bias,datetime
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,4,GPS     ,31.824060440063477,130.59959411621094,37.189896,0.225555,25.55917,-104.919907,40.124786,30.873051,126.751282,53.272766,1.304025,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,7,GLONASS ,31.824060440063477,130.59959411621094,87.576927,0.281449,34.732407,-121.440613,14.91471,26.942745,122.208221,30.59734,1.304011,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,8,GPS     ,31.824060440063477,130.59959411621094,44.152355,0.131687,30.244343,-129.258026,39.924744,29.585953,127.529701,68.799889,1.301749,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,8,GLONASS ,31.824060440063477,130.59959411621094,49.951225,0.684094,21.814306,-72.932503,18.746674,33.708389,122.120476,19.122538,1.302357,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,9,GPS     ,31.824060440063477,130.59959411621094,39.768467,0.40785,19.937805,-63.353043,24.385874,34.312328,124.219589,62.477383,1.303227,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,9,GLONASS ,31.824060440063477,130.59959411621094,25.508358,0.12156,21.123343,32.702023,53.836452,33.618355,131.98912,16.610712,1.302542,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,16,GPS     ,31.824060440063477,130.59959411621094,23.592585,0.13277,20.405844,14.469316,58.108334,33.597115,131.149414,39.457092,1.301864,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,16,GLONASS ,31.824060440063477,130.59959411621094,52.724903,0.129349,23.733889,92.75193,19.956367,31.210272,138.8293,34.162888,1.302402,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,18,GPS     ,31.824060440063477,130.59959411621094,37.016968,0.431437,16.7843,54.412663,20.247501,35.677395,137.532669,45.31781,1.302872,2024-01-01 07:00:00
2024,1,1,7,0,0,840,3505,8000,1704092400.0,1704092401.0,350.0,aira,18,GLONASS ,31.824060440063477,130.59959411621094,35.009239,0.234683,12.775481,26.878246,11.466247,40.779789,136.644196,31.631554,1.301936,2024-01-01 07:00:00
